PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Levarages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
680,3.3.1.3.4,"3,3134",5,Erreur mathématique,erreurMathématique,Résultat invalide,Imprécision,1,2.0,4.0,,,Hypothèse non plausible,23.0,"Entre plusieurs explications, vous choisissez la plus improbable.",65.0,Il doit vraiment avoir une dent contre moi pour m'avoir attribué une si mauvaise note.,86.0,,Mathematical error,Invalid result,Vagueness,Least Plausible Hypothesis,26.0,,Choosing less plausible explanations over more likely ones.,59.0,He must really have a grudge against me for giving me such a poor grade.,,72,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/117/Least_Plausible_Hypothesis,liens t  XXXX la même que 1.1.2.3.1 hypothèse farfelue? principe de parcimonie. ad hoc sauvetage.,,,,,Математическая ошибка,Недействительный результат,Неточность,Недостоверная гипотеза,Среди множества объяснений вы выбираете самое невероятное. ,"Вероятно, он имеет на меня зуб, раз поставил мне плохую оценку. ",,Erro Matemático,Resultado Inválido,Imprecisão,Hipótese Improvável,"Entre várias explicações, vocês escolhem a mais improvável.","Ele realmente deve ter algo contra mim para me dar uma nota tão ruim, sem motivo aparente.",,,,"1.1.2.3.1
1.1.2
1.3.3
",,,,,,,,,,,,,,circle,,,,,3.3134,4+
681,3.3.2,"3,32",3,Erreur mathématique,erreurMathématique,Résultat invalide,Erreur de calcul,1,2.0,5.0,,,Erreur de calcul,16.0,Votre conclusion est le résultat d'une erreur de calcul.,56.0,"Sachant qu'un croissant coûte un euro et cinquante centimes, avec dix euros tu peux largement en acheter huit.",110.0,,Mathematical error,Invalid result,Erroneous calculation,Erroneous calculation,21.0,,Making errors in the calculation from which conclusions are drawn.,66.0,"Given that a croissant costs one euro and fifty cents, with ten euros you can easily buy eight.",,95,,,,,,,Математическая ошибка,Недействительный результат,Ошибка в вычислении,Ошибка в вычислении,Ваши заключения основаны на ошибке в расчетах,"Учитывая, что круассан стоит один евро и пятьдесят центов, на десять евро вы можете легко купить восемь круассанов.",,Erro Matemático,Resultado Inválido,Erro de Cálculo,Erro de Cálculo,Sua conclusão é o resultado de um erro de cálculo.,"Considerando que um croissant custa um euro e cinquenta centavos, com dez euros você pode facilmente comprar oito.",,1,,,,,,,,,,,,,,,,circle,,,,,3.32,3
690,3.3.3,"3,33",3,Erreur mathématique,erreurMathématique,Résultat invalide,Opération inappropriée,1,2.0,6.0,,,Opération inappropriée,22.0,Vous utilisez un type de raisonnement mathématique qui n'est pas valide dans cette situation.,93.0,"Dans la fable de La Fontaine, chaque fois que le lièvre avance, la tortue avance aussi, empêchant ainsi le lièvre de combler son retard.",136.0,,Mathematical error,Invalid result,Wrong reasoning,Wrong reasoning,15.0,,Using invalid mathematical reasoning.,37.0,"In the fable by La Fontaine, each time the hare moves forward, the tortoise moves forward as well, preventing the hare from catching up.",,136,,,,,,,Математическая ошибка,Недействительный результат,Неуместное умозаключение,Неуместное умозаключение,"Вы прибегаете к научному рассуждению там, где это неуместно. ","В басне Лафонтена, каждый раз когда заяц двигается вперед, черепаха ползет вперед тоже, таким образом, она мешает зайцу наверстать опоздание. ",,Erro Matemático,Resultado Inválido,Raciocínio matemático inadequado,Raciocínio matemático inadequado,Usando um tipo de raciocínio matemático que não é válido nesta situação.,"O corredor mais rápido nunca pode ultrapassar o mais lento. O perseguidor deve primeiro alcançar o ponto de onde o perseguido partiu, então o mais lento sempre mantém uma vantagem.",,,,,,,,,,,,,,,,,,circle,,,,,3.33,3
696,4,4,1,Erreur de raisonnement,erreurDeRaisonnement,,,,1.0,2.0,,,Erreur de raisonnement,22.0,Votre thèse repose sur un raisonnement incohérent.,50.0,,0.0,,Faulty logics,,,Faulty logics,13.0,,Reaching a conclusion through flawed reasoning.,47.0,,,0,https://en.wikipedia.org/wiki/Fallacy#Logical_fallacies,,,,,,Ошибка рассуждения,,,Ошибка рассуждения,Ваш довод основан на непоследовательном рассуждении. ,"Мы решили, что этот человек не подходит для работы из-за его странного чувства юмора. Это строго логическое решение, не так ли?",,Lógicas defeituosas,,,Lógicas defeituosas,Chegar a uma conclusão através de um raciocínio falho.,"Decidi que essa pessoa não é adequada para a função devido ao seu senso de humor peculiar, o que claramente é uma escolha lógica, certo?",,,,,,,,,,,,,,Logical_Conflict,,,skos:closeMatch,square,engrenages,#6ab400,,,4.0,1
697,4.1,"4,1",2,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,,1,1.0,7.0,,,Causalité douteuse,18.0,Vous assumez un lien de cause à effet qui n'est pas évident ou incorrect.,73.0,Pas étonnant qu'il obtienne de si bonnes notes à l'école : c'est le chouchou du professeur !,92.0,,Faulty logics,Questionable causality,,Questionable causality,22.0,,Asserting debatable causality relations. ,41.0,No wonder she gets such good grades. She’s the teacher’s pet.,,61,http://www.nizkor.org/features/fallacies/questionable-cause.html,, Non causa pro causa,,,,Ошибка рассуждения,Сомнительная причинно-следственная связь,,Сомнительная причинно-следственная связь,"Вы утверждаете, что некий факт вызвал другой, устанавливая очень сомнительную логическую связь. ","Неудивительно, что он получает такие хорошие оценки в школе: он же любимчик! ",,Lógicas defeituosas,Causalidade questionável,,Causalidade questionável,Você afirma relações de causalidade questionáveis.,Não é de se admirar que ele tire notas tão boas na escola: ele é o favorito do professor!,,,,,,,,,,,,,,OppositeConsequences_Conflict,PracticalReasoning_Inference,,skos:broadMatch,circle,mains se dessinent l'une l'autre,,,,4.1,2
698,4.1.1,"4,11",3,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Pétition de principe,1,2.0,4.0,,,Pétition de principe,20.0,Vous utilisez un argument qui suppose déjà ce que vous essayez de prouver.,74.0,"Mieux vaut avoir un chat plutôt qu'un chien, car les chats sont de meilleurs animaux de compagnie.",98.0,https://fr.wikipedia.org/wiki/PA13%A9tition_de_principe,Faulty logics,Questionable causality,Begging the question,Begging the question,20.0,,Attempting to prove a proposition by using an argument that takes the proposition for granted.,94.0,Death penalty is fair because some crimes deserve that punishment.,,66,https://en.wikipedia.org/wiki/Begging_the_question,liens t analogie à pet prin. Idem avec 166 : doublon à supprimer ?? Stéphanie,petitio principii,,,,Ошибка рассуждения,Сомнительная причинно-следственная связь,Предвосхищение основания,Предвосхищение основания,Ваша аргументация предполагает истинность заключения. ,"Смертная казнь - это справедливое наказание, потому что некоторые преступления достойны ее. ",https://ru.wikipedia.org/wiki/Логическая_ошибка,Lógicas defeituosas,Causalidade questionável,Petição de princípio,Petição de princípio,Você usa um argumento que já supõe o que tenta provar.,"É melhor ter um gato do que um cachorro, porque os gatos são melhores animais de estimação.",,,,"5.2.2.1
2.1.1.2
4.1.1
2.1.1.2",,,,,,,,,,,,,,circle,,,,,4.11,3
699,4.1.1.1,"4,111",4,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Pétition de principe,1,1.0,1.0,,,Argument circulaire,19.0,"Vous concluez en tournant en rond, chaque argument reposant sur l'acceptation de la conclusion.",95.0,"L'existence de la Bible prouve celle de Dieu, puisque c'est lui qui l'a dictée aux hommes.",90.0,https://fr.wikipedia.org/wiki/Argument_circulaire,Faulty logics,Questionable causality,Begging the question,Circular reasoning,18.0,,Your logical chain of reasoning involves propositions that are only true if the conclusion is true. ,100.0,"God exists because the Bible says it and can't be wrong, being dictated by God.",,79,https://en.wikipedia.org/wiki/Circular_reasoning,,Circulus in demonstrando,,,,Ошибка рассуждения,Сомнительная причинно-следственная связь,Предвосхищение основания,Круговое рассуждение,"Ваше рассуждение основано на элементах, которые предполагают истинность вашего заключения. ","Существование Библии доказывает существование Бога, потому что Он и продиктовал ее людям. ",https://ru.wikipedia.org/wiki/Круговое_рассуждение,Lógicas defeituosas,Causalidade questionável,Petição de princípio,Raciocínio circular,Sua cadeia lógica de raciocínio envolve proposições que só são verdadeiras se a conclusão for verdadeira.,"Deus existe porque a Bíblia diz isso e não pode estar errada, sendo ditada por Deus.",,1,,,,,,,,,,,,,,,,circle,uroburos,,,,4.111,4+
707,4.1.2,"4,12",3,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Inversion de causalité,1,2.0,4.0,,,Inversion de causalité,22.0,"Vous confondez le préalable avec la conséquence, inversant ainsi la dynamique causale.",86.0,"Il est dangereux d'utiliser un fauteuil roulant, puisque la plupart des personnes qui en sont équipées sont victimes d'accidents.",129.0,http://sophismes.free.fr/#causal,Faulty logics,Questionable causality,Reversed causality,Reversed causality,18.0,,"Confusing the cause with the effect, thus reversing the causal dynamic.",71.0,Using a wheelchair is seen as dangerous by some because many wheelchair users have had accidents.,,97,https://en.wikipedia.org/wiki/Wrong_direction,,,,,,Ошибка рассуждения,Сомнительная причинно-следственная связь,Обратная причинно-следственная связь,Обратная причинно-следственная связь,Причины вы принимаете за следствия и наоборот. ,"Это инвалидное кресло использовать опасно, потому что большинство людей, которые им пользовались, оказались жертвами аварий. ",,Lógicas defeituosas,Causalidade questionável,Causalidade invertida,Causalidade invertida,"Vocês confundem o precedente com a consequência, invertendo assim a dinâmica causal.","É perigoso usar uma cadeira de rodas, pois a maioria das pessoas que a usam foram vítimas de acidentes.",,1,,,,,,,,,,,,,CauseToEffect_Inference,,skos:broadMatch,circle,,,,,4.12,3
708,4.1.2.1,"4,121",4,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Inversion de causalité,1,1.0,3.0,,,Affirmation du conséquent,25.0,Vous déduisez une cause de son effet sans prendre en compte les autres causes possibles.,88.0,"Après une averse, le sol est toujours mouillé. Le sol est mouillé donc il a plu.",80.0,https://fr.wikipedia.org/wiki/Affirmation_du_consA13%A9quent,Faulty logics,Questionable causality,Reversed causality,Affirming the consequent,24.0,,Inferring the antecedent from the consequent of an implication without considering alternate causes.,100.0,"After it rains, the ground is always wet; the ground is wet; therefore, it must have rained.",,92,https://en.wikipedia.org/wiki/Affirming_the_consequent,,,,,,Ошибка рассуждения,Сомнительная причинно-следственная связь,Обратная причинно-следственная связь,Утверждение на основе последствия,"Вы выводите причину из следствия, не учитывая, что причины могут быть иными. ","После ливня земля всегда мокрая. Земля мокрая, значит, был ливень. ",,Lógicas defeituosas,Causalidade questionável,Causalidade invertida,Afirmação do consequente,Vocês deduzem uma causa do seu efeito sem considerar outras causas possíveis.,"Após uma chuva, o chão está sempre molhado. O chão está molhado, então choveu.",,1,1.0,,,,,,,,,,,,,,,circle,,,,1.0,4.121,4+
713,4.1.2.5,"4,125",4,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Inversion de causalité,1,2.0,6.0,,,Sophisme de la double faute,27.0,Vous croyez à tort que deux erreurs combinées peuvent produire un résultat juste.,81.0,"Le patron ne paie pas ses taxes, alors je ne vais pas me géner pour me servir dans la caisse.",93.0,https://fr.wikipedia.org/wiki/Two_wrongs_make_a_right,Faulty logics,Questionable causality,Reversed causality,Two wrongs make a right,23.0,,attempting to amend a faulty step by another faulty step.,57.0,"The boss is not paying his taxes, so I shouldn't feel bad about taking some cash from the register.",,99,https://en.wikipedia.org/wiki/Two_wrongs_make_a_right,"J'ai modifié la définition d'après celle que j'avais rédigée à l'époque où j'avais le meme projet que vous - J
",,,,moins par moins égale plus.,Ошибка рассуждения,Сомнительная причинно-следственная связь,Обратная причинно-следственная связь,Софизм двойной ошибки,"Вы считаете, что непоследовательность в действиях или словах вашего собеседника в прошлом обесценивает его аргументы в настоящем, и что опровергать их не нужно. ","Мой шеф не платит налоги, так что я тоже не буду раздумывать, прежде чем взять немного денег из кассы.",,Lógicas defeituosas,Causalidade questionável,Causalidade invertida,Sofisma dos dois erros,Vocês acreditam erroneamente que dois erros combinados podem produzir um resultado justo.,"O patrão não paga seus impostos, então, eu não vou me constranger em pegar dinheiro do caixa.",,,,,,,,,,,,,,,,,,circle,XXXthierry lermitte donne un coup de baton de ski pour que la fille n'aie plus mal à sa jambe cassée.,,,,4.125,4+
719,4.1.3,"4,13",3,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Effet cigogne,1,1.0,1.0,,,Effet cigogne,13.0,Vous croyez à tort qu'une corrélation entre deux événements implique forcément qu'il y a un lien de cause à effet.,114.0,Les naissances sont plus nombreuses dans les régions qui comptent le plus de nids de cigognes. Ce sont donc bien elles qui apportent les bébés.,143.0,https://fr.wikipedia.org/wiki/Cum_hoc_ergo_propter_hoc,Faulty logics,Questionable causality,Causalation,Causalation,11.0,,Asserting a causal relation between two phenomena on grounds of them being correlated. ,87.0,There are more births in regions that have more storks' nests. So it must be the storks that bring the babies.,,110,https://en.wikipedia.org/wiki/Correlation_does_not_imply_causation,,Cum hoc ergo propter hoc,"Quand un pays s'endette, la croissance ralentit ; l'endettement nuit donc à la croissance.","When a country's debt rises, growth slows.Therefore, debt slows growth down.",,Ошибка рассуждения,Сомнительная причинно-следственная связь,Эффект аиста,Эффект аиста,"Под предлогом того, что два феномена связаны, вы устанавливаете между ними причинно-следственную связь. ","Рождаемость выше в тех регионах, в которых встречается больше всего гнезд аистов. Так что аисты младенцев и приносят. ",,Lógicas defeituosas,Causalidade questionável,Efeito Cegonha,Efeito Cegonha,Você acredita erroneamente que uma correlação entre dois eventos implica necessariamente que há um vínculo de causa e efeito.,"Nascimentos são mais frequentes em regiões que têm mais ninhos de cegonhas. Então, são realmente elas que trazem os bebês.",,1,1.0,,,,,,,,,,,OtherCausalFactorsInvolved_Conflict,CorrelationToCause_Inference,,skos:closeMatch,circle,,,,1.0,4.13,3
726,4.2,"4,2",2,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,,1,1.0,6.0,,,Mauvaise composition,20.0,"Vous reliez incorrectement des propositions logiques, entraînant un raisonnement erroné.",88.0,"Plus il y a de gruyère, plus il y a de trous ; or plus il y a de trous, moins il y a de gruyère. Donc plus il y a de gruyère, moins il y en a.",142.0,,Faulty logics,Spurious composition,,Spurious composition,20.0,,Faulty chaining of logical assertions.,38.0,"The more Swiss cheese you have, the more holes you have; but the more holes you have, the less Swiss cheese you have. Thus, the more Swiss cheese, the less you have.",,165,http://www.fallacyfiles.org/glossary.html#Connective,,,,,,Ошибка рассуждения,Неправильная композиция,,Неправильная композиция,Ваше суждение основано на фальшивой связи логических умозаключений. ,"Чем больше сыра, тем больше дырок, чем больше дырок - тем меньше сыра. Так что чем больше сыра, тем его меньше. ",,Lógicas defeituosas,Composição falaciosa,,Composição falaciosa,"Você conecta incorretamente proposições lógicas, levando a um raciocínio errado.","Quanto mais gruyère, mais buracos; mas quanto mais buracos, menos gruyère. Portanto, quanto mais gruyère, menos se tem.",,   ,,,,,,,,,,,,Commitment_Conflict,"Inference_Scheme, Deductive_Inference",,skos:broadMatch,circle,jeux de forme bébé,,,,4.2,2
727,4.2.1,"4,21",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de logique propositionnelle,1,2.0,5.0,,,Erreur de logique propositionnelle,34.0,"Vous utilisez incorrectement des propositions logiques élémentaires reliées par 'et', 'ou', 'si... alors', et cela mène à des conclusions fausses.",146.0,"Il ne peut pas pleuvoir et neiger en même temps ; du coup, s'il ne pleut pas, il neige.",87.0,,Faulty logics,Spurious composition,Propositional logic fallacy,Propositional logic fallacy,27.0,,"You use the basic logical propositions connected by 'and', 'or', 'if... then' incorrectly, leading to false conclusions.",120.0,"It can't be both raining and snowing; therefore, if it's not raining, it is snowing.",,84,http://www.fallacyfiles.org/glossary.html#Connective,,,,,,Ошибка рассуждения,Неправильная композиция,Логическая ошибка в предложении,Логическая ошибка в предложении,"Ваше суждение основано на неправильном использовании элементарных логических предложений, соединенных 'и', 'или', 'если... тогда', что приводит к ложным выводам.","Не может одновременно идти дождь и снег, так что, если снег не идет, значит, идет дождь. ",,Lógicas defeituosas,Composição falaciosa,Erro de lógica proposicional,Erro de lógica proposicional,"Vocês utilizam incorretamente proposições lógicas elementares conectadas por 'e', 'ou', 'se... então', e isso leva a conclusões falsas.","Não pode chover e nevar ao mesmo tempo; logo, se não está chovendo, está nevando.",,,,,,,,,,,,,,,ModusPonens_Inference,,skos:narrowMatch,circle,,,,,4.21,3
729,4.2.1.1.1,"4,2111",5,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de logique propositionnelle,1,2.0,,,,Négation de l'antécédent,24.0,"Vous rejetez une conclusion simplement parce qu'une cause possible ne s'est pas réalisée, confondant ainsi cause et condition nécessaire.",137.0,"S'il pleut, le sol est mouillé. Il n'a pas plu donc le sol n'est pas mouillé.",77.0,https://fr.wikipedia.org/wiki/N%C3%A9gation_de_l%27ant%C3%A9c%C3%A9dent,Faulty logics,Spurious composition,Propositional logic fallacy,Denying the antecedent,22.0,Inverse error,Invalidating a conclusion on grounds of the Falsity of a sufficient condition.,78.0,"If it rains, the ground gets wet. It didn't rain, so the ground isn't wet.",,74,https://en.wikipedia.org/wiki/Denying_the_antecedent,XXXX confusion nécessaire et suffisantXXXXx,,,,,Ошибка рассуждения,Неправильная композиция,Логическая ошибка в предложении,Отрицание предшествующего,Из ложности вывода вы выносите суждение о ложности достаточного условия. ,"Если идет дождь, земля мокрая. Дождь не шел, значит, земля не мокрая.",,Lógicas defeituosas,Composição falaciosa,Erro de lógica proposicional,Negação do antecedente,"Vocês rejeitam uma conclusão simplesmente porque uma causa possível não se realizou, confundindo assim causa e condição necessária.","Se chove, o solo está molhado. Não choveu, então o solo não está molhado.",,,1.0,,,,,,,,,,,,,,,circle,,,,1.0,4.2111,4+
733,4.2.1.3.1,"4,2131",5,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de logique propositionnelle,1,1.0,2.0,,,Affirmation d'une disjonction,29.0,Vous affirmez que deux options sont mutuellement exclusives alors qu'elles pourraient coexister.,96.0,"Pour réussir dans ce milieu, il faut être très riche ou très beau. Moi je suis très beau, alors ne me demande pas d'argent.",123.0,https://fr.wikipedia.org/wiki/Affirmation_d%27une_disjonction,Faulty logics,Spurious composition,Propositional logic fallacy,Affirming a disjunct,20.0,,"Claiming that the terms of an ""or"" statement can't be simultaneously true.",74.0,"To succeed in this industry, you either have to be very rich or very handsome. I am very handsome, so don’t assume I am wealthy.",,128,http://www.fallacyfiles.org/afonedis.html,"4. LOG. Proposition alternative (Proposition) ,,qui énonce deux choses dont une seule est vraie.`` (Foulq.-St-Jean 1962). Cf. alternative. CNRTL. Donc changer le nom. 
lien faux dilemme?",,,,,Ошибка рассуждения,Неправильная композиция,Логическая ошибка в предложении,Утверждение дизъюнкции,"Вы утверждаете о взаимоисключающем характере двух альтернатив, хотя они могут существовать одновременно.","Чтобы добиться успеха в этой сфере, нужно быть либо очень богатым, либо очень красивым. Я очень красив, так что не просите у меня денег.",,Lógicas defeituosas,Composição falaciosa,Erro de lógica proposicional,Afirmação de uma disjunção,Vocês afirmam que duas opções são mutuamente exclusivas enquanto elas poderiam coexistir.,"Para ter sucesso neste meio, é necessário ser muito rico ou muito bonito. Eu sou muito bonito, então não me peça dinheiro.",,1,1.0,,,,,,,,,,,,,,,circle,,,,1.0,4.2131,4+
735,4.2.2,"4,22",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de quantification,1,2.0,5.0,,,Erreur de quantification,24.0,"Vous faites une erreur en utilisant des quantificateurs comme 'tous', 'aucun' ou 'quelques', ce qui impacte l'argument.",119.0,Tous les philosophes sont sages ; cependant quelques-uns sont idiots.,69.0,,Faulty logics,Spurious composition,Quantification fallacy,Quantification fallacy,22.0,,"Misusing quantifiers such as ""all"", ""none"" or ""some"".",53.0,"All philosophers are wise, although some of them are idiots.",,60,http://www.fallacyfiles.org/quanfall.html,,,,,,Ошибка рассуждения,Неправильная композиция,Количественная ошибка,Количественная ошибка,"Вы неправильно используете такие неопределенные прилагательные, как все, некоторые, никакой, и т.п.","Все философы мудры, однако, некоторые из них - идиоты. ",,Lógicas defeituosas,Composição falaciosa,Erro de Quantificação,Erro de Quantificação,"Você comete um erro ao usar quantificadores como 'todos', 'nenhum' ou 'alguns', o que impacta o argumento.",Todos os filósofos são sábios; embora alguns deles sejam idiotas.,,1,,,,,,,,,,,,,,,,circle,,,,,4.22,3
740,4.2.2.2,"4,222",4,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de quantification,1,2.0,,,,Inférence immédiate erronnée,28.0,"Vous tirez une conclusion directement d'une seule prémisse de manière incorrecte, en attribuant des propriétés ou des conclusions qui ne sont pas logiquement soutenues par cette prémisse.",187.0,"Il est faux que tous les chiens sont blancs, donc il n'y a pas de chiens blancs. ",81.0,,Faulty logics,Spurious composition,Quantification fallacy,Faulty immediate inference,26.0,,"Drawing a conclusion directly from a single premise incorrectly, attributing properties or conclusions that are not logically supported by that premise.",152.0,"It's false that all dogs are white, therefore there are no white dogs.",,70,https://en.wikipedia.org/wiki/Immediate_inference,,,,,,Ошибка рассуждения,Неправильная композиция,Количественная ошибка,Неверный немедленный вывод,"Вы неправильно делаете вывод непосредственно из одной посылки, приписывая свойства или выводы, которые логически не подкреплены этой посылкой.","Это неверно, что все собаки белые, следовательно, белых собак нет.",,Lógicas defeituosas,Composição falaciosa,Erro de Quantificação,Inferência Imediata Errada,"Você tira uma conclusão diretamente de uma única premissa incorretamente, atribuindo propriedades ou conclusões que não são logicamente apoiadas por essa premissa.","É falso que todos os cães são brancos, portanto não existem cães brancos.",,,,,,,,,,,,,,,,,,circle,,,,,4.222,4+
750,4.2.3,"4,23",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de modalité,1,2.0,5.0,,,Erreur de modalité,18.0,"Vous faites une erreur en évaluant la vérité de vos propositions, sans tenir compte des nuances de la logique modale.",117.0,"Maman prétend que je ne peux pas manger des bonbons après m'être brossé les dents ; pourtant, j'y parviens sans difficulté !",124.0,https://fr.wikipedia.org/wiki/Logique_modale,Faulty logics,Spurious composition,Modal logic fallacy,Modal logic fallacy,19.0,,Making errors in the manipulation of the quality and degree of truth of your propositions.,90.0,"Mom says I can't eat candies after I've brushed my teeth; however, I do it anyway without any difficulty.",,105,http://www.fallacyfiles.org/modalfal.html,,,,,,Ошибка рассуждения,Неправильная композиция,Ошибка модальности,Ошибка модальности,Ваша аргументация неправильно различает модальности. ,"Мама утверждает, что я не могу есть конфеты после того, как я почищу зубы, а у меня это получается без проблем!",,Lógicas defeituosas,Composição falaciosa,Erro de modalidade,Erro de modalidade,"Vocês cometem um erro ao avaliar a verdade das suas proposições, sem considerar as nuances da lógica modal.","Mamãe diz que eu não posso comer doces depois de escovar os dentes; no entanto, consigo fazer isso sem dificuldade.",,1,,,,,,,,,,,,,Ignorance_Inference,,skos:broadMatch,circle,,,,,4.23,3
752,4.2.3.1.1,"4,2311",5,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de modalité,1,2.0,,,,Sophisme de l'homme masqué,26.0,Vous supposez à tort que des connaissances différentes sur des objets correspondent à des propriétés différentes de ces objets.,127.0,"Lois Lane pense que Superman peut voler. Lois Lane pense que Clark Kent ne peut pas voler. Par conséquent, Superman et Clark Kent ne sont pas la même personne.",159.0,,Faulty logics,Spurious composition,Modal logic fallacy,Masked Man Fallacy,18.0,"Intensional Fallacy, epistemic fallacy, illicit substitution of identicals",Assuming that knowing different aspects about objects corresponds to different properties of these objects.,107.0,Lois Lane thinks Superman can fly. Lois Lane thinks Clark Kent cannot fly. Therefore Superman and Clark Kent are not the same person.,,133,https://en.wikipedia.org/wiki/Masked-man_fallacy,,,,,,Ошибка рассуждения,Неправильная композиция,Ошибка модальности,Ошибка о человеке в маске,"Предполагая, что разные аспекты знаний об объектах соответствуют разным свойствам этих объектов.","Лоис Лейн думает, что Супермен может летать. Лоис Лейн думает, что Кларк Кент не может летать. Следовательно, Супермен и Кларк Кент не одно лицо.",https://ru.wikipedia.org/wiki/%D0%9E%D1%88%D0%B8%D0%B1%D0%BA%D0%B0_%D0%BE_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B5_%D0%B2_%D0%BC%D0%B0%D1%81%D0%BA%D0%B5,Lógicas defeituosas,Composição falaciosa,Erro de modalidade,Sofisma do homem mascarado,Vocês presumem erroneamente que conhecimentos diferentes sobre objetos correspondem a propriedades diferentes desses objetos.,"Lois Lane acha que Superman pode voar. Lois Lane acha que Clark Kent não pode voar. Portanto, Superman e Clark Kent não são a mesma pessoa.",,,,,,,,,,,,,,,,,,circle,,,,,4.2311,4+
758,4.3,"4,3",2,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,,1,1.0,4.0,,,Mauvaise déduction,18.0,Vous aboutissez à des conclusions qui ne découlent pas logiquement de vos affirmations de départ.,97.0,"Si l'on ne trouve pas de solution, c'est qu'il n'y a pas de problème.",69.0,,Faulty logics,Wrong entailment,,Wrong entailment,16.0,,Drawing conclusions that do not logically follow from the starting assumptions.,79.0,"If no solution is found, it does not mean there is no problem.",,62,,,,,,,Ошибка рассуждения,Ложная дедукция,,Ложная дедукция,"Ваши изначальные гипотезы не позволяют построить рассуждение, которое бы обосновало вывод. ","Если мы не находим решения, значит, нет и проблемы. ",,Lógicas defeituosas,Dedução incorreta,,Dedução incorreta,Vocês chegam a conclusões que não decorrem logicamente das suas afirmações iniciais.,"Se não se encontra uma solução, é porque não há problema.",,,,,,,,,,,,,,Commitment_Conflict,Deductive_Inference,,skos:broadMatch,circle,le penseur à terre,,,,4.3,2
759,4.3.1,"4,31",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,Conclusion hâtive,1,2.0,6.0,,,Conclusion hâtive,17.0,"Vous tirez des conclusions trop vite, sans disposer de suffisamment de preuves.",79.0,Ce bol est rempli de croquettes ; il y a donc un chat dans la maison.,69.0,,Faulty logics,Wrong entailment,Hasty conclusion,Hasty conclusion,16.0,,Drawing logical consequences from facts which are insufficient to support such an entailment.,93.0,"This bowl is filled with cat food; therefore, there is a cat in the house.",,74,https://en.wikipedia.org/wiki/Jumping_to_conclusions,"autre lien en: https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/114/Jumping-to-Conclusions

beaucoup de ref à généralisation hâtive. lien t?",,,,,Ошибка рассуждения,Ложная дедукция,Поспешные выводы,Поспешные выводы,"Вы делаете выводы слишком быстро, не располагая достаточным количеством доказательств.","В этой миске есть корм для котов, значит, в доме есть кот.",,Lógicas defeituosas,Dedução incorreta,Conclusão Precipitada,Conclusão Precipitada,"Vocês tiram conclusões muito rapidamente, sem terem provas suficientes.","Esse pote está cheio de ração; logo, há um gato nesta casa.",,1,,3.1.1.1.1.2,,,,,,,,,,OppositeConsequences_Conflict,,,skos:broadMatch,circle,,,,,4.31,3
